ZIP Code Tabulation Area (ZCTA),CBSAsub,Area Name,2020 Decennial Census ZCTA Population,ZCTA Population also in 2025 QCT,ZCTA Population NOT in 2025 QCT,2025 Final 40th Percentile 2-Bedroom SAFMR,2025 4-Person VLIL ,LIHTC Maximum Rent (1/12 of 30% of 120% of VLIL),SDDA Ranking Ratio (SAFMR/LIHTC Maximum Rent),Pop>=100, Cumulative Population ,Percent Cumulative Population,2026 SDDA (1=SDDA),dda_type,FIPS,cbsasub,areaname,2020 Decennial Census ,Population also in 2025 QCT,Effective Pop,FY2025 Final 40th Percentile 2-Bedroom FMR,2025 4-Person Very Low Income Limit (VLIL),DDA Ranking Ratio (FMR/LIHTC Maximum Rent),Cumulative Population,Cumulative Percentage Population,2026 NMDDA
10018.0,METRO35620MM5600,"New York, NY HUD Metro FMR Area",11145.0,456.0,10689.0,8050.0,81000.0,2430.0,3.3128,1.0,10689.0,3.7e-05,1.0,2026 MDDA,,,,,,,,,,,,
10006.0,METRO35620MM5600,"New York, NY HUD Metro FMR Area",4282.0,0.0,4282.0,7940.0,81000.0,2430.0,3.2675,1.0,14971.0,5.19e-05,1.0,2026 MDDA,,,,,,,,,,,,
10005.0,METRO35620MM5600,"New York, NY HUD Metro FMR Area",10639.0,0.0,10639.0,7380.0,81000.0,2430.0,3.037,1.0,25610.0,8.87e-05,1.0,2026 MDDA,,,,,,,,,,,,
10038.0,METRO35620MM5600,"New York, NY HUD Metro FMR Area",25332.0,4630.0,20702.0,7280.0,81000.0,2430.0,2.9959,1.0,46312.0,0.0001604,1.0,2026 MDDA,,,,,,,,,,,,
10016.0,METRO35620MM5600,"New York, NY HUD Metro FMR Area",62336.0,0.0,62336.0,7250.0,81000.0,2430.0,2.9835,1.0,108648.0,0.0003763,1.0,2026 MDDA,,,,,,,,,,,,
10162.0,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1814.0,0.0,1814.0,7190.0,81000.0,2430.0,2.9588,1.0,110462.0,0.0003826,1.0,2026 MDDA,,,,,,,,,,,,
10044.0,METRO35620MM5600,"New York, NY HUD Metro FMR Area",11722.0,0.0,11722.0,6670.0,81000.0,2430.0,2.7449,1.0,122184.0,0.0004232,1.0,2026 MDDA,,,,,,,,,,,,
77010.0,METRO26420M26420,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",883.0,0.0,883.0,4140.0,50550.0,1516.5,2.73,1.0,123067.0,0.0004262,1.0,2026 MDDA,,,,,,,,,,,,
33473.0,METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",11057.0,0.0,11057.0,4700.0,58450.0,1753.5,2.6804,1.0,134124.0,0.0004645,1.0,2026 MDDA,,,,,,,,,,,,
10012.0,METRO35620MM5600,"New York, NY HUD Metro FMR Area",23125.0,0.0,23125.0,6500.0,81000.0,2430.0,2.6749,1.0,157249.0,0.0005446,1.0,2026 MDDA,,,,,,,,,,,,
