PROPERTIES_REPORTED____________________(%),ALL_HOUSEHOLD_MEMBERS_REPORTED1________________________________________(%_OF_HOUSEHOLDS),DISABILITY_STATUS_______________________________________IS_REPORTED____________________________________________(%_OF_INDIVIDUALS),REPORTED_AS_DISABLED________________________________(%_OF_INDIVIDUALS)
,,,
,,,
89.58990536277602,80.5,100.0,4.0
30.76923076923077,85.5,75.4,5.5
90.76576576576578,56.99999999999999,100.0,4.3999999999999995
82.5910931174089,100.0,100.0,0.0
71.71377299237326,80.0,93.5,6.0
80.97281831187411,57.4,100.0,3.3000000000000003
57.8125,83.39999999999999,98.2,10.100000000000001
92.81045751633987,97.8,100.0,0.3
84.86238532110092,79.10000000000001,98.2,4.9
84.75471698113208,0.0,0.0,0.0
34.241788958770094,96.5,100.0,6.5
80.0,42.8,99.8,1.5
72.35772357723577,78.0,88.2,4.2
99.18032786885246,83.8,0.0,0.0
66.44920782851817,86.5,99.8,6.9
87.20588235294117,88.4,100.0,6.3
92.36363636363636,88.0,100.0,9.6
72.60579064587974,77.4,0.0,0.0
73.68421052631578,96.3,100.0,0.0
77.01793721973094,55.400000000000006,100.0,2.7
77.734375,62.3,99.8,9.9
51.060358890701465,86.6,97.1,14.2
53.16205533596838,79.4,98.5,14.7
87.38738738738738,86.8,85.5,8.4
93.0062630480167,68.10000000000001,95.19999999999999,8.4
69.57746478873239,83.1,100.0,6.3
49.516770892552586,89.4,97.8,10.8
79.6078431372549,99.9,100.0,9.8
100.0,77.4,99.7,1.6
90.98591549295774,88.7,100.0,8.0
49.16943521594684,88.6,98.2,7.199999999999999
83.19327731092437,57.8,100.0,8.3
18.984838497033618,82.69999999999999,100.0,3.4000000000000004
56.52173913043478,52.5,100.0,4.3
47.092360319270234,64.9,52.7,8.3
74.54175152749491,86.1,100.0,12.4
73.46938775510205,91.3,100.0,9.3
68.4149855907781,58.099999999999994,100.0,0.2
56.30252100840336,90.60000000000001,99.3,9.0
60.258481421647815,82.69999999999999,0.0,0.0
90.026714158504,83.2,100.0,11.200000000000001
91.4798206278027,82.19999999999999,100.0,3.9
99.45054945054946,49.7,100.0,20.0
68.11594202898551,75.7,100.0,8.4
84.26966292134831,54.900000000000006,100.0,7.7
87.71428571428571,32.2,96.89999999999999,0.1
74.73338802296965,100.0,92.9,11.700000000000001
84.61538461538461,74.9,99.8,1.5
93.8388625592417,84.1,100.0,7.199999999999999
92.66666666666666,68.2,100.0,10.2
95.49143372407575,62.9,100.0,3.5999999999999996
93.53035143769968,83.8,80.9,17.4
79.7153024911032,78.8,0.0,0.0
80.60671722643553,78.10000000000001,0.0,0.0
81.03448275862068,73.6,0.0,0.0
70.20624107498186,72.5,85.1,6.800000000000001
,,,
,,,
,,,
,,,
