PROPERTIES_MATCHED____________________(%),ALL_HOUSEHOLD_MEMBERS_REPORTED1________________________________________(%_OF_HOUSEHOLDS),DISABILITY_STATUS_______________________________________IS_REPORTED____________________________________________(%_OF_INDIVIDUALS),REPORTED_AS_DISABLED________________________________(%_OF_INDIVIDUALS)
,,,
,,,
86.76716917922947,93.4,100.0,4.1000000000000005
51.32275132275132,100.0,100.0,0.0
90.36402569593149,73.5,93.5,10.7
82.24852071005917,100.0,100.0,0.0
Data Not Reported,,,
82.4966078697422,62.2,84.5,6.6000000000000005
55.18763796909493,0.4,98.6,11.700000000000001
53.79746835443038,100.0,100.0,0.1
88.9795918367347,95.8,98.1,5.6000000000000005
90.05355776587605,40.699999999999996,0.0,0.0
49.8,99.1,100.0,7.1
73.33333333333333,99.8,100.0,3.1
94.39999999999999,1.5,86.8,3.5000000000000004
99.15611814345992,100.0,0.0,0.0
65.88021778584393,87.9,99.9,7.8
88.08664259927798,87.9,96.7,6.9
90.54545454545455,99.7,100.0,10.0
75.70093457943925,100.0,0.0,0.0
32.72010512483574,97.7,100.0,0.0
79.72972972972973,50.4,79.60000000000001,6.5
87.13235294117648,81.6,96.5,14.6
50.076103500761036,96.0,97.2,15.299999999999999
39.227053140096615,0.5,98.4,14.2
86.91741618969746,99.3,100.0,11.4
93.70698131760079,99.9,94.6,9.3
Insufficient Data,,,
47.49262536873156,99.7,100.0,13.4
77.23880597014924,99.6,100.0,10.299999999999999
100,92.60000000000001,98.8,1.9
93.16939890710383,99.7,100.0,9.5
49.8371335504886,100.0,100.0,8.4
83.75,49.6,72.6,7.1
27.28476821192053,100.0,100.0,4.3
55.140186915887845,30.4,75.6,5.2
44.262741891523575,93.30000000000001,54.400000000000006,8.0
83.11170212765957,86.3,100.0,11.799999999999999
86.49789029535864,99.7,100.0,13.600000000000001
70.4772475027747,63.7,100.0,0.4
70.59961315280464,99.4,100.0,10.4
68.18181818181817,100.0,0.0,0.0
96.6321243523316,99.7,100.0,11.899999999999999
90.67796610169492,99.8,100.0,4.2
94.68085106382979,99.9,13.0,13.0
89.51486697965572,99.7,100.0,9.1
81.25,66.60000000000001,85.0,6.7
88.73994638069705,84.39999999999999,96.5,0.1
76.07361963190185,100.0,92.7,10.299999999999999
Data Not Reported,,,
94.96567505720824,99.9,100.0,7.3999999999999995
93.79084967320262,81.3,94.5,15.5
94.84092863284609,99.5,0.0,0.0
92.35569422776912,99.9,87.5,15.8
74.82014388489209,0.0,98.0,22.400000000000002
78.57142857142857,100.0,0.0,0.0
77.11864406779661,99.7,0.0,0.0
63.94527904446656,83.39999999999999,80.0,7.5
,,,
,,,
,,,
,,,
,,,
